绑工资卡可以分期吗,绑可以分期
拆封就不能退了吗,拆封不能退
拆封外观有问题的也是不支持无理由,也是不支持无理由
这还说得过去我卖给顾客也得让拆封看,还说过去我卖给顾客
我2台就少挣了60元,少挣60元
机子是最新产日期的吗,机子是产日期
好吧买2台看看,买2台看看
没有看到备注呢,没有看到备注
你是说58保一年的,你是说一年
收到货再买可以吗,收到再买可以
我问问顾客,我问问顾客
那就好我到时问问顾客,到时问问顾客
这款手机是正版吗,手机是正版
那售后有哪些服务,售后有哪些服务
您好手机壳定制也是第二个半价吗,您好手机壳定制个半价
还送机器人不,还送机器人不
荣耀magic,荣耀magic
为什么不支持花呗,不支持花呗
我直接点下面得花呗分期就提示我商家不支持,得花呗就提示不支持
可能是太多了,可能是太多
手机不是从杭州发的么,手机不是么
那我这里是杭州,这里是杭州
8xmix有没有6128的,8xmix有没有6128
8xmax,8xmax
我的订单啥时候发货啊,啥时候发货
不用啦老人用,不用啦老人用
可以选4礼品,可以选4礼品
套餐一是什么用的,一是什么用
一是这么用,一是这么用
三块手机壳,三块手机壳
外包装有问题没事,外包装有问题没事
尽快发货就行,尽快发货就行
如果拿到手机感觉不怎么样可以七天无理由退货吗,如果拿到手机感觉无理由退货
意思是激活了就不可以换了吗,意思是激活
那几个套餐有什么区别呢,套餐有什么区别
这个型号有现货,型号有现货
不要礼品扣多少钱,礼品扣多少钱
mate20是不是,mate20是不是
2s有没有公开版的,s有没有公开版
这个有录音功能吗,这个有录音功能
这个是全网通的么,这个是全网通么
卡是是不是只能用小卡啊,卡是是不是只能用小卡
可以帮我个忙吗,可以帮个忙
可以借我一个苹果手机的帐号密码,可以借帐号密码
你好你120块还没返现给我,没返现给我
意思最低就是那个到手价呗,最低就是那个到手价
双12没买到涨价了,没买到涨价
就不能按双12的价钱卖我一个嘛我是真收藏了没买到,卖我是真收藏
我自己的生日就卖我个啊256的不是9688嘛,就卖啊256不是9688
我一次性付款不要送的东西9688好嘛,9688好
就差这么几天啊,就差这么几天
麻烦给我改下地址,麻烦改下地址
华腾大厦12层1288室,1288室
这个多大处理器,这个多大处理器
6sp不是停产了吗,6sp不是停产
咱们可以办理分期付款,可以办理分期付款
就要4128黑色,4128黑色
我现在想下单啊,现在想下单
这玩意能直接控制智能开关吗,直接控制智能开关
加这个是否能解决不支持的空调和电视,能解决空调
原遥控就是红外的,遥控就是红外
要结合手机才能使用吗还是可以独立运行,要结合手机才能使用独立运行
哦那是否单购M1音箱X1再搭配手机APP就可以实现红外智能开关的控制,是否单购再搭配手机APP可以实现控制
必须是两个方糖才可以用是吗,必须是可以用是
红外控制距离有多远,距离有多远
这个旧手机回收怎么操作啊,手机回收怎么操作
我今天下单手机什么时候能到啊,今天下单时候能到
就是说买新手机和旧手机回收是两回事儿吧,是两回事儿
我这显示3018,这显示3018
我选择旧手机回收了新手机还没到岂不是很尴尬,我选择手机回收新手机
咱们这边价格有点高苏宁便宜一百多咱们这边还能优惠吗,有点高苏宁能优惠
这款有快充吗,这款有快充
老板你这个底座不带充电线么,不带充电线
现在拍最快多久发,现在拍多久发
这个是有货的吧,这个是有货
我以为什么都没有,我以为都没有
我买的5188我看到店铺还有5500左右的,我看到店铺还有5500
IPhone8plus,IPhone8plus
你们店铺有iPhone8plus64G2个价格,店铺有iPhone8plus64G个价格
一个写了全网通还一个写了移动联通,一个写全网通一个写移动联通
这个是有区别吗,这个是有区别
5188的是不支持电信,是不支持电信
这个手机是玻璃机身的,手机是玻璃机身
机身坏了保护不,机身坏保护不
不要了退一下老婆骂人,退一下老婆骂人
能连接苹果吗荣耀手表,能连接苹果荣耀手表
7500但是支付宝冻结了用不了,支付宝冻结用不了
扫地机器人和无线充电,扫地机器人无线充电
人家有的店铺卖二千三,店铺卖二千三
已寄出记得查收,已寄出记得查收
美版有没有,美版有没有
还想看看有没有其它的,还想看看有没有其它
花呗不够也可以分期,花呗可以分期
这是装手机壳了,这是装手机壳
双12那天买才有,那天买才有
我准备买手机,我准备买手机
你就说什么时候发货,就说时候发货
我手机没用了急用,手机没用急用
你这是忽悠人的,这是忽悠人
你才多少月销量,多少月销量
什么越早付款越早发货这句话不是有水分吗,早付款越早发货句话不是有水分
你才多月销量,你才多月销量
不是和你说吗我手机没用了急用,不是说手机没用急用
做不到今天下午发那个算了,做不到今天下午发那个算了
下午发没问题吧,下午发没问题
急用请尽快发货今天可以发货吗,急用请尽快发货
这个是曲面屏的吗,这个是曲面屏
杭州过来应该明天会到,杭州过来会到
这手机昨天连语音都听不了刚买回来居然还卡这是咋回事,都听刚买回来
嗯嗯好嘞谢谢哈,嗯嗯好嘞谢谢哈
手机屏幕碎了换一个的话需要多少钱,屏幕碎换一个需要多少钱
我只是大概问一下需要多少钱,大概问一下需要多少钱
以旧换新是怎样的情况呀,以旧换新是情况
等待的感觉真是不好过啊,真是不好过
真的不用了亲,真的不用亲
型号是多少,型号是多少
这个买手机送礼品吗,买手机送礼品
可以送哪些,可以送哪些
无线充电器和冬天那个杯子,无线充电器那个杯子
那和套餐一套餐二没关系啦,餐二没关系
买了一定有皮套是吗,一定有皮套是
3年还是2年,3年还是2年
可是能便宜一点吗,能便宜一点
有的商家才6528呢,才6528
不能给张优惠券吗,不能给张优惠券
万水千山总是情给点终极优惠行不行,情给优惠行不行
你们也是杭州的啊,你们也是杭州
明天有优惠吗,明天有优惠
还是等到下周,还是等到下周
我有荣耀9可以回收不,我有可以回收不
红米手机更新系统之后图标出现绿色格子怎么整得,图标出现绿色格子怎么整得
这种基带是哪家的,基带是哪家
但是xr也是全网通呀但是他是inter,也是全网通他是inter
后来考虑到信号就不考虑xr了,不考虑xr
收到机后怎么验证一下,怎么验证一下
我知道手机是真的但是怎么验证是不是高通基带那,我知道手机是怎么验证
怎么没人和我联系,怎么没人联系
你们是品牌方吗,你们是品牌方
我们后期可以给你们提供你家产品和我们演员同框的剧照海报小视频包括一份授权书你们可以用作宣传营销使用,提供包括一份授权书
能转接下你们运营吗,能转接下你们运营
这款手机有优惠吗,手机有优惠
那要是激活了还可以退货吗,要是激活可以退货
这个手机的配置可以发给我看一下吗,可以发给看一下
前置摄像头像素是多少,像素是多少
一代有没有手柄,一代有没有手柄
怎么退那100,怎么退那100
碎了就换还是维修,碎就换还是维修
我想问一下,我想问一下
电视不用wif,不用wif
不会是翻新机吧,不会是翻新机
花呗不够可以分期怎么分,花呗怎么分
就是怕水货,就是怕水货
现在6s都是没货都是翻新机了,都是都是翻新机
先看看在买,先看看在买
官方反馈保修期只有363天手机今天到手怎么保修期会对不上,官方反馈保修期今天到手会对不上
我全额付款可以返100是吧,可以返100是
老顾客这个我有么,老顾客这个我有么
有没有用花呗,有没有用花呗
我现在是付的现金纳,现在是现金纳
花呗你们还要手续费,花呗你们还要手续费
返100然后送个保温杯是吧,返然后送个保温杯是
不用了哈保证不是翻新机或者是官换机对吧,哈保证不是官换机对
你有实体店铺么,你有实体店铺
我也在杭州我想在当面买,我想当面买
手机是6g运行吗,手机是6g运行
这是我朋友的号码我帮她买的手机,这是我帮手机
备注可以送啥怎么备注,可以送啥怎么备注
头戴式耳机是什么牌子的,耳机是什么牌子
音质怎么样,音质怎么样
天猫精灵和双肩包,猫精灵和双肩包
金色的可以到这个价给我吗,可以到这个价给我
你帮我问一下吧,你帮问一下
可以帮忙问一下吗,可以帮忙问一下
可以现金全款买但是要礼品,全款买但是要礼品
老板说不行吗今天下单哦,老板说不行
礼品有什么,礼品有什么
我看要不要,我看要不要
双12省钱攻略以旧换新,攻略以旧换新
能保证是全新正品吗,能保证是全新正品
还不如另一家优惠,还不如家优惠
这些都是送的还是只送一些,都是送只送一些
前面那个只能选三样对吧,只能选样对
是不是还便宜一百块,还便宜一百块
那就是1399哦,那就是1399
电子发票是那样的,发票是那样
礼品要蓝牙耳机蓝牙小音响吃鸡工具,要蓝牙工具
套餐有什么不一样嘛,套餐有不一样
对呀就是464g不是1399嘛,就是g不是1399
怎么又1499了,又1499
小礼品这些是要买了以后才发对吧,这些是要买
然后不满意可以退吧,不满意可以退
礼品赠送什么,礼品赠送什么
你如果赠送我就买,如果赠送我就买
价格上能再给我优惠点吗,再给我优惠点
价格再优惠点好吗对比苏宁,再优惠点好对比苏宁
亲给我优惠点嘛都聊了那么久,亲给都聊那么久
哦就10选2礼品吗,10选2礼品
10选2我要一个充电宝一个热水壶和杯子,10选2我要一个热水壶
我选哪个套餐,我选哪个套餐
今天下单什么时候能发货,今天下单能发货
我的荣耀9也是在你家买的可以送我一个钢化膜吗,荣耀9可以送钢化膜
好吧荣耀9的膜不送就不送吧是你们当时发错了我买的灰的给我发黑的我下单了你给我备注,不送不送是当时发错灰
大溪河镇邮编233124有影响吗,233124有影响
不买了寄来寄去麻烦,不买了寄来
这个没弄过拍了之后怎么办,之后怎么办
会寄来发票吗,会寄来发票
双12狂欢秒杀50元优惠券,12狂欢秒杀元优惠券
你好我是5号买的这款手机当时你们说保价到12号的现在优惠了一百多能反我差价吧,你好我是你们说保价到
我刚打开手机触摸屏怎么没有反应呢,刚打开手机触摸屏怎么没有反应
你好想问一下以旧换新的流程,你好想问一下换流程
这手机没有什么优惠券什么的对吧,手机没有什么优惠券
然后是正品行货对吧,然后是行货对
嗯知道了我再看一下,嗯知道再看一下
没人说话换家了啊,没人说话换家
我买的那款手机送赠品吗,手机送赠品
我已经付款啦送我蓝牙音箱吧,已经付款送蓝牙音箱
对了亲我才发现其他颜色价格是一样的能帮我换下颜色吗还是说我要退款重拍呢,对了亲我才发现价格是
能帮我换成黑色的吗一样的价格,能帮换成黑色价格
那能多送点东西吗给你点名好评,多送点东西点名好评
能多送点礼品吗,多送点礼品
那好吧帮我备注颜色换成黑色12选1赠品送蓝牙音箱哦没有蓝牙音箱就蓝牙耳机也行,帮备注颜色换成
因为这个不是停产了,这个不是停产
今天双十二有优惠吗,双十二有优惠
这个退款得明天显示,这个退款明天显示
我还想问一下收货地址现在我能改吗,还想问一下能改
收件人呢给我媳妇买的她近期要出差我也在外地把收件人改成我地址从山东到贵州可以否,要出差可以否
对头什么时间能发货啊,对头能发货
对了我这订单有什么送的礼品啊,订单有礼品
十分钟付款那个呢,十分钟付款
数据线那个,数据线那个
10选2何时选,10选2何时选
现在买有什么优惠吗,现在买有什么优惠
或者送什么东西,或者送什么东西
好吧下面十选一我选个蓝牙耳机请尽快发货谢谢,十选我选蓝牙耳机请尽快发货谢谢
官方标配是原装的,标配是原装
100优惠券,100优惠券
到底这手机对眼睛看不怎么清的老年人使用好不好适不适合,使用好不好
为什么还是8758啊,为什么还是8758
为什么我提交订单还是8758呢,我提交订单还是8758
那还能10分钟内付款4选1吗,内付款4选1
能送我就下单了,能送我就下单
优惠攻略8605的那个能选10分钟之类四选一活动吗,优惠攻略能选10分钟四选一活动
那无线充电器是买就送吗,充电器是买
不弄那个优惠攻略,不弄优惠攻略
到货返现150对吧,到货返现150对
手机满意的话再买也不迟啊,手机满意也不迟
碎了我就再你们家再换一个喽,碎再换一个
问题是我现在买了手机没钱了,问题是手机没钱
不可以直接连接手机蓝牙播放音乐吗,直接连接手机蓝牙播放音乐
8128G,8128G
那就选择音响吧今天应该可以发货吧,就选择音响可以发货
